DISEASE              | MODEL ID        | MODELLING APPROACH
----------------------------------------------------------------------
hiv_files            | MODEL1302180001 | ordinary differential equation model
hiv_files            | BIOMD0000000874 | ordinary differential equation model
hiv_files            | MODEL1006230035 | ordinary differential equation model
hiv_files            | MODEL1006230075 | ordinary differential equation model
hiv_files            | BIOMD0000000683 | ordinary differential equation model
hiv_files            | MODEL1006230081 | ordinary differential equation model
hiv_files            | BIOMD0000000967 | ordinary differential equation model
hiv_files            | BIOMD0000000573 | ordinary differential equation model
hiv_files            | MODEL1006230093 | ordinary differential equation model
hiv_files            | BIOMD0000000876 | ordinary differential equation model
hiv_files            | BIOMD0000000663 | ordinary differential equation model
hiv_files            | MODEL1006230033 | ordinary differential equation model
hiv_files            | BIOMD0000000872 | ordinary differential equation model
hiv_files            | MODEL1812040004 | ordinary differential equation model
hiv_files            | MODEL1812040002 | ordinary differential equation model
hiv_files            | MODEL1805230001 | Not specified
hiv_files            | MODEL1006230050 | ordinary differential equation model
hiv_files            | BIOMD0000000875 | ordinary differential equation model
hiv_files            | MODEL2503040001 | differential equation model
hiv_files            | MODEL1302180002 | ordinary differential equation model
hiv_files            | MODEL1006230055 | ordinary differential equation model
hiv_files            | MODEL4028801312 | ordinary differential equation model
hiv_files            | MODEL8102792069 | ordinary differential equation model
hiv_files            | BIOMD0000000707 | ordinary differential equation model
dengue_files         | MODEL2003160002 | ordinary differential equation model
dengue_files         | MODEL2311070004 | constraint-based model
dengue_files         | MODEL2003190001 | ordinary differential equation model
dengue_files         | MODEL2311070003 | constraint-based model
dengue_files         | MODEL2311070005 | constraint-based model
dengue_files         | MODEL2311070007 | constraint-based model
dengue_files         | MODEL2311070002 | constraint-based model
dengue_files         | MODEL2311070006 | constraint-based model
dengue_files         | MODEL2311070001 | constraint-based model
tuberculosis_files   | BIOMD0000000222 | ordinary differential equation model
tuberculosis_files   | MODEL1911120004 | ordinary differential equation model
tuberculosis_files   | MODEL2203300001 | constraint-based model
tuberculosis_files   | BIOMD0000001095 | constraint-based model
tuberculosis_files   | BIOMD0000000608 | ordinary differential equation model
tuberculosis_files   | MODEL1507180021 | constraint-based model
tuberculosis_files   | BIOMD0000000221 | ordinary differential equation model
tuberculosis_files   | BIOMD0000000219 | ordinary differential equation model
tuberculosis_files   | MODEL2203300002 | constraint-based model
